Time,Real-time price,Real-time load,local generation,Real-time tie-line power,wind output,Photovoltaic output,Hydro/pumped-storage output,nuclear output,Total Self-Owned Generation,2m air temperature,2m dew-point temperature,Sea-level pressure,surface pressure,Total precipitation,rainfall,snowfall,2m relative humidity,apparent temperature,10m gust speed,10m wind direction,10m wind speed,100m wind speed
2025/1/1 00:00,302.12,60225.504,8745.805,16800.895,8128.21,25.31,-7.163,11.366,4550.246,0.31,-10.04,1022.8,987.76,0,0,0,45.75,-4.57,6.1,197.85,3.1,7.42
2025/1/1 01:00,308.89,59518.566,8718.483,16944.609,7017.88,25.38,-1171.146,11.822,4571.161,-0.04,-9.44,1022.5,987.42,0,0,0,49.2,-4.74,5.7,203.86,2.84,7.07
2025/1/1 02:00,350.99,58849.824,8696.284,16858.812,6328.21,25.3,-1164.727,12.165,4589.174,-0.34,-8.79,1022.7,987.58,0,0,0,52.91,-4.9,5.2,204.18,2.69,6.81
2025/1/1 03:00,367.25,58482.06,8732.04,16656.058,5537.83,24.94,-312.555,10.872,4595.289,-0.64,-8.19,1022.6,987.44,0,0,0,56.66,-5.07,4.9,204.54,2.53,6.48
2025/1/1 04:00,368.07,58843.402,8785.779,16774.333,4931.35,25.12,-1.883,11.86,4598.774,-0.94,-7.74,1022.3,987.12,0,0,0,59.97,-5.21,4.5,207.12,2.3,6.01
2025/1/1 05:00,322.22,60527.66,8747.957,20747.722,4145.61,25.51,151.052,12.203,4670.536,-0.99,-7.44,1022.3,987.11,0,0,0,61.6,-5.22,4,206,2.28,5.87
2025/1/1 06:00,314.42,62747.934,8801.363,22209.887,3357.7,26.01,861.367,11.822,4682.959,-1.19,-7.24,1022.5,987.28,0,0,0,63.48,-5.31,3.9,202.31,2.11,5.23
2025/1/1 07:00,358.53,68598.016,8748.71,22412.701,2746.47,950.86,1306.086,11.518,4665.77,-1.44,-7.19,1022.7,987.44,0,0,0,64.9,-5.47,3.5,202.62,1.95,4.36
2025/1/1 08:00,376.67,66548.1,8809.337,21228.28,2166,4498.74,-2.054,12.431,4628.681,-0.39,-7.14,1022.9,987.76,0,0,0,60.34,-4.39,3.3,198.44,1.9,3.96
2025/1/1 09:00,260.4,62100.54,8750.064,20721.648,1412.86,7929.09,-2015.208,12.849,4587.74,1.81,-7.74,1023.5,988.62,0,0,0,49.16,-2.59,4.7,182.25,2.55,4.07
2025/1/1 10:00,164.05,59190.11,8726.916,20193.523,1049.27,9890.3,-2285.576,11.632,4504.143,4.91,-7.94,1023.7,989.19,0,0,0,38.9,0.68,5,181.3,2.2,4.18
2025/1/1 11:00,117.35,55277.85,8626.407,18142.266,1296.69,10648.84,-2270.174,0,4467.739,7.31,-8.44,1023.5,989.29,0,0,0,31.71,2.95,5.6,183.65,2.35,3.27
2025/1/1 12:00,158.56,54549.434,8644.773,17802.874,2223.73,9989.54,-2227.971,0,4484.08,8.86,-8.89,1022.2,988.22,0,0,0,27.55,4.33,6.1,186.58,2.62,3.43
2025/1/1 13:00,133.45,57418.96,8693.367,18037.87,3052.47,8231.89,-2200.311,0,4525.633,9.81,-9.19,1021.3,987.46,0,0,0,25.25,5.3,6.1,187.97,2.52,3.24
2025/1/1 14:00,236.45,61660.832,8779.1,18171.885,3791.33,5313.69,-7.456,0,4502.156,10.11,-9.29,1020.5,986.72,0,0,0,24.55,5.76,5.8,180,2.2,2.85
2025/1/1 15:00,355.06,65359.51,8930.237,19207.044,4044.73,1667.43,1364.29,0,4439.318,9.81,-9.29,1020.3,986.49,0,0,0,25.05,5.59,5,175.6,1.96,2.75
2025/1/1 16:00,351.32,70838.266,8900.474,22249.87,4573.17,63.84,2017.897,0,4426.711,6.36,-8.34,1020.4,986.18,0,0,0,34.1,2.52,3.5,127.69,1.39,3.23
2025/1/1 17:00,344.27,72846.9,9008.019,23261.047,6032.61,32.56,2135.816,0,4422.103,3.36,-8.84,1020.9,986.3,0,0,0,40.43,-0.04,2.2,102.53,0.46,2.37
2025/1/1 18:00,319.46,71235.16,9040.344,23649.671,7162.9,33.13,1604.743,0,4439.198,1.36,-8.49,1022,987.11,0,0,0,47.9,-2.01,1,12.53,0.46,0.92
2025/1/1 19:00,315.01,71176.91,8991.214,24036.601,7346.45,31.7,558.211,0,4440.68,-0.24,-7.89,1022.7,987.59,0,0,0,56.33,-3.59,1.1,338.2,0.54,1.14
2025/1/1 20:00,328.01,69500.38,8999.816,23134.77,7148.01,29.41,320.872,0,4505.327,-1.69,-7.54,1023.3,987.99,0,0,0,64.35,-5.15,1.4,291.8,0.81,1.4
2025/1/1 21:00,330.26,66319.07,8932.424,22838.747,6291.76,29.63,-1.909,0,4540.82,-0.99,-5.99,1024.2,988.94,0,0,0,68.85,-4.42,1.6,313.03,1.03,1.63
2025/1/1 22:00,290.1,61779.32,8874.748,19306.017,5251.9,29.06,-1.975,0,4542.306,-1.79,-6.14,1024.8,989.42,0,0,0,72.18,-5.14,1.9,310.24,0.85,2.24
2025/1/1 23:00,285.21,59116.035,8821.236,18147.464,5100.83,28.05,-1.88,0,4530.058,-1.94,-6.34,1025.4,989.98,0,0,0,71.87,-5.16,1.5,307.88,0.57,2.22
2025/1/2 00:00,286.43,57418.934,8862.415,16134.425,5430.59,27.88,-1.975,0,4550.193,-2.54,-6.49,1026,990.48,0,0,0,74.27,-6.35,2.8,334.98,1.66,4.17
2025/1/2 01:00,244.14,56915.4,8754.601,16145.672,6276.46,27.92,-1.837,0,4638.006,-2.54,-5.24,1026.1,990.58,0,0,0,81.69,-6.53,4,332.3,2.26,5.6
2025/1/2 02:00,227.8,56975.34,8742.656,16288.942,8007.02,31.89,-959.038,0,4645.159,-2.89,-3.94,1026.6,991.02,0,0,0,92.47,-6.78,4.4,333.44,2.35,5.7
2025/1/2 03:00,169.1,57095.61,8743.505,16217.391,9008.16,35.3,-1240.459,0,4632.686,-3.04,-3.74,1026.8,991.19,0,0,0,94.91,-7.05,4.7,342.26,2.62,5.96
2025/1/2 04:00,194.03,58223.594,8760.508,16095.118,10795.83,34.11,-1224.097,0,4636.194,-2.99,-3.49,1027,991.39,0,0,0,96.34,-7.06,5.2,341.24,2.8,6.28
2025/1/2 05:00,176.5,61925.527,8789.348,19981.926,11522.06,35.67,-1173.597,0,4646.631,-2.84,-2.99,1027.8,992.18,0,0,0,98.89,-7.13,6.1,334.2,3.33,6.74
2025/1/2 06:00,45.44,67425.65,8847.593,21777.836,11967.39,30.46,-1.875,0,4627.584,-2.04,-2.24,1028.3,992.77,0,0,0,98.53,-6.24,6.2,338.04,3.34,6.43
2025/1/2 07:00,287.41,76284.94,8862.623,21659.998,12020.29,904.42,973.352,0,4589.023,-1.59,-1.79,1028.9,993.41,0,0,0,98.54,-5.76,6.1,346.37,3.4,6.35
2025/1/2 08:00,322.18,77991.46,8814.821,21133.347,10986.96,4695.84,525.013,0,4586.694,-1.49,-1.64,1029.8,994.29,0,0,0,98.9,-5.71,6.5,343.61,3.54,6.48
2025/1/2 09:00,298.06,75658.79,8794.258,20658.66,8876.32,7702.59,-6.419,0,4580.117,-0.74,-1.54,1030.9,995.45,0,0,0,94.31,-4.93,6.8,345.96,3.5,5.02
2025/1/2 10:00,294.09,73752.21,8698.984,20206.23,7647.96,9355.86,-1149.003,0,4546.791,0.66,-1.99,1031.4,996.11,0,0,0,82.43,-3.62,7.3,357.58,3.55,4.8
2025/1/2 11:00,295.11,67429.5,8688.761,18091.679,6870.65,10022.15,-1741.568,0,4503.135,2.26,-2.89,1031.3,996.21,0,0,0,68.76,-2.24,8,3.05,3.76,5.02
2025/1/2 12:00,272.53,67498.89,8714.073,17895.909,6207.49,9185.05,-1705.072,0,4570.311,3.06,-4.69,1030.3,995.34,0,0,0,56.78,-1.66,8.2,3.81,3.76,4.93
2025/1/2 13:00,312.95,71109.22,8743.666,18029.937,5449.73,7670.35,-1111.934,0,4569.097,3.46,-6.04,1029.6,994.72,0,0,0,49.83,-1.53,8.3,0.72,4,5.25
2025/1/2 14:00,371.41,74200.04,8752.862,18183.572,3922.13,5012.23,-290.223,0,4612.653,3.51,-6.74,1028.9,994.05,0,0,0,47.07,-1.63,8.6,3.45,4.16,5.56
2025/1/2 15:00,437.75,76422.29,8884.76,18865.888,3180.81,1722.85,151.082,0,4496.599,2.91,-6.84,1029.2,994.26,0,0,0,48.73,-2.1,8.5,8.13,3.89,5.3
2025/1/2 16:00,467.26,79590.93,9020.907,21782.463,3208.83,66.6,2112.887,0,4531.4,1.81,-6.24,1029.7,994.61,0,0,0,55.17,-2.61,7.6,17.18,2.88,4.74
2025/1/2 17:00,417.18,80352.81,8975.744,23258.155,3485.54,25.74,1769.65,0,4545.052,-1.24,-5.94,1029.9,994.42,0,0,0,70.39,-5.21,5.3,37.15,2.07,5.28
2025/1/2 18:00,403.49,77899.58,8982.386,23442.129,3230.88,24.78,1588.363,0,4482.895,-2.24,-5.74,1030.4,994.77,0,0,0,76.92,-6.13,3.8,52.25,1.96,5.02
2025/1/2 19:00,389.54,76674.9,8951.198,23673.27,2771.44,25.44,1390.565,0,4480.259,-2.84,-5.84,1030.8,995.08,0,0,0,79.81,-6.43,3.3,56.89,1.37,3.61
2025/1/2 20:00,389.55,74661.92,8931.723,22637.377,2221.25,24.94,428.675,0,4471.999,-2.94,-5.89,1031.2,995.45,0,0,0,80.1,-6.12,2.3,30.96,0.58,2.37
2025/1/2 21:00,386.97,71654.13,8861.445,22390.719,2010.04,24.74,-1.689,0,4560.169,-2.29,-5.84,1031.5,995.83,0,0,0,76.62,-5.3,1.4,21.8,0.27,1.19
2025/1/2 22:00,370.29,66883.15,8868.201,19170.169,1823.91,25.23,-1.702,0,4598.53,-2.79,-5.89,1031.9,996.15,0,0,0,79.21,-5.75,1.1,251.56,0.16,1.07
2025/1/2 23:00,366.45,63566.824,8800.343,18070.754,2104.29,25.2,-1.786,0,4584.835,-3.64,-6.14,1031.9,996.04,0,0,0,82.79,-6.78,1.2,220.6,0.46,1.22
2025/1/3 00:00,314.03,62065.457,8828.724,16173.954,2337.11,25.48,-1.837,0,4569.249,-4.49,-6.49,1031.5,995.54,0,0,0,85.91,-7.85,1.5,201.8,0.81,1.3
2025/1/3 01:00,307.35,61083.227,8827.581,16408.27,2646.65,25.35,-603.686,0,4598.858,-4.99,-6.84,1031.1,995.09,0,0,0,86.85,-8.49,1.7,200.22,1.01,1.75
2025/1/3 02:00,309.76,61040.336,8787.738,16309.915,3065.07,26.28,-1164.974,0,4594.816,-5.14,-7.14,1031.1,995.07,0,0,0,85.84,-8.72,1.8,195.95,1.09,1.87
2025/1/3 03:00,313.29,61014.65,8817.217,16338.077,3817.04,26.2,-624.814,0,4629.043,-5.29,-7.44,1030.8,994.76,0,0,0,84.84,-8.86,1.8,202.83,1.03,2.1
2025/1/3 04:00,308.87,62089.48,8790.977,16302.511,4165.46,26.05,-1.842,0,4618.733,-5.49,-7.74,1030.3,994.25,0,0,0,84.16,-9.09,1.8,209.05,1.03,2.35
2025/1/3 05:00,306.6,65642.58,8805.385,20307.675,3715.45,26.66,-1.841,0,4563.127,-5.49,-8.14,1030.1,994.06,0,0,0,81.59,-9.04,1.8,203.63,0.87,2.34
